Participante,Título del Resumen
"Yoymí Claro, Mario López","Integración gradual de tecnologías emergentes en la enseñanza de la Bioquímica Médica en contextos con recursos limitados"
"MSc. René Mena Mugica","Evaluación de metodologías y programas para el cambio de comportamiento en salud en el municipio Arroyo Naranjo."
"Ana Ivis Estrada Casteleiro","Evaluación de metodologías y programas para el cambio de comportamiento en salud en el municipio Arroyo Naranjo."
"Maritza Díaz Molleda","Evaluación de metodologías y programas para el cambio de comportamiento en salud en el municipio Arroyo Naranjo."
"Yaritza Jova Linares","Evaluación de metodologías y programas para el cambio de comportamiento en salud en el municipio Arroyo Naranjo."
"Elisa María Puentes Rizo","Evaluación de metodologías y programas para el cambio de comportamiento en salud en el municipio Arroyo Naranjo."
"MSc Dra Iliana Molina Nápoles","DESCENTRALIZACIÓN DE LA DOCENCIA EN LAS CARRERAS DE CIENCIAS MÉDICAS. FACULTAD JULIO TRIGO LÓPEZ 2026"
"Yaritza Jova Linares","DESCENTRALIZACIÓN DE LA DOCENCIA EN LAS CARRERAS DE CIENCIAS MÉDICAS. FACULTAD JULIO TRIGO LÓPEZ 2026"
"Leandra Magaly Garcia Polo","DESCENTRALIZACIÓN DE LA DOCENCIA EN LAS CARRERAS DE CIENCIAS MÉDICAS. FACULTAD JULIO TRIGO LÓPEZ 2026"
"MSc Dr Carlos Juan Paradela Ferrera","DESCENTRALIZACIÓN DE LA DOCENCIA EN LAS CARRERAS DE CIENCIAS MÉDICAS. FACULTAD JULIO TRIGO LÓPEZ 2026"
"Regla C. Stuart Rodríguez","DESCENTRALIZACIÓN DE LA DOCENCIA EN LAS CARRERAS DE CIENCIAS MÉDICAS. FACULTAD JULIO TRIGO LÓPEZ 2026"
"Katia C. García Hernández","DINAMICAS DE TALLERES SOBRE PREVENCIÓN DE LA CIBERVIOLENCIA EN PAREJAS JÓVENES EN LA FCM JULIO TRIGO LÓPEZ"
"Laura Lliteras Achang","DINAMICAS DE TALLERES SOBRE PREVENCIÓN DE LA CIBERVIOLENCIA EN PAREJAS JÓVENES EN LA FCM JULIO TRIGO LÓPEZ"
"Ana Belkis Perdomo Cáceres","DINAMICAS DE TALLERES SOBRE PREVENCIÓN DE LA CIBERVIOLENCIA EN PAREJAS JÓVENES EN LA FCM JULIO TRIGO LÓPEZ"
"Nelcy Martínez Trujillo,","DINAMICAS DE TALLERES SOBRE PREVENCIÓN DE LA CIBERVIOLENCIA EN PAREJAS JÓVENES EN LA FCM JULIO TRIGO LÓPEZ"
"Dashely Martínez Asanza,","DINAMICAS DE TALLERES SOBRE PREVENCIÓN DE LA CIBERVIOLENCIA EN PAREJAS JÓVENES EN LA FCM JULIO TRIGO LÓPEZ"
"Katia C. García Hernández","DINAMICAS DE TALLERES SOBRE PREVENCIÓN DE LA CIBERVIOLENCIA EN PAREJAS JÓVENES EN LA FCM JULIO TRIGO LÓPEZ"
"Caridad Vega Rodríguez","DINAMICAS DE TALLERES SOBRE PREVENCIÓN DE LA CIBERVIOLENCIA EN PAREJAS JÓVENES EN LA FCM JULIO TRIGO LÓPEZ"
"Lic. Niurka Hernández Hernández","DINAMICAS DE TALLERES SOBRE PREVENCIÓN DE LA CIBERVIOLENCIA EN PAREJAS JÓVENES EN LA FCM JULIO TRIGO LÓPEZ"
"Yamile Hernandez López","DINAMICAS DE TALLERES SOBRE PREVENCIÓN DE LA CIBERVIOLENCIA EN PAREJAS JÓVENES EN LA FCM JULIO TRIGO LÓPEZ"
"Lic. Iskra Marcos Armenteros","DINAMICAS DE TALLERES SOBRE PREVENCIÓN DE LA CIBERVIOLENCIA EN PAREJAS JÓVENES EN LA FCM JULIO TRIGO LÓPEZ"
"Katia C. García Hernández","DINAMICAS DE TALLERES SOBRE PREVENCIÓN DE LA CIBERVIOLENCIA EN PAREJAS JÓVENES EN LA FCM JULIO TRIGO LÓPEZ"
"René Arenas Gutiérrez","DINAMICAS DE TALLERES SOBRE PREVENCIÓN DE LA CIBERVIOLENCIA EN PAREJAS JÓVENES EN LA FCM JULIO TRIGO LÓPEZ"
"Ricardo Fernández Rodríguez","DINAMICAS DE TALLERES SOBRE PREVENCIÓN DE LA CIBERVIOLENCIA EN PAREJAS JÓVENES EN LA FCM JULIO TRIGO LÓPEZ"
